page,title,header1,header2,header3,header4,content,ref,file
1,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,phần mở đầu,,,,"Tăng huyết áp (THA) hiện vẫn là một thách thức y tế hàng đầu, là nguyên nhân chính dẫn đến các bệnh lý
tim mạch và tử vong trên toàn cầu. Tỷ lệ kiểm soát THA trên thế giới vẫn còn hạn chế, với chỉ khoảng 21%
bệnh nhân đạt được mức kiểm soát (1, 2). Trong những năm gần đây, các nghiên cứu chuyên sâu đã giúp
chúng ta hiểu rõ hơn về sinh lý bệnh của THA cũng như các phương pháp can thiệp hiệu quả. Các tiến bộ
này bao gồm sự phát triển của các nhóm thuốc mới đầy hứa hẹn, các phác đồ điều trị kết hợp tối ưu hoá
việc kiểm soát huyết áp (HA), cùng những hiểu biết ngày càng nâng cao về các yếu tố nguy cơ (YTNC) và
biện pháp dự phòng nhằm ngăn chặn diễn tiến của THA và những hệ quả nghiêm trọng của nó. Tại Châu
Âu, Hội Tăng Huyết Áp Châu Âu (ESH) năm 2023, Hội Tim Mạch Châu Âu (ESC) năm 2024 đã công bố
các khuyến cáo mới, vừa có tính hàn lâm cao vừa sát thực tiễn nhưng lại có sự khác biệt làm bối rối không
ít các thầy thuốc lâm sàng (1-3). Tại châu Á như Hàn Quốc, Nhật Bản, Đài Loan, Thái Lan, Trung Quốc và
Việt Nam (5-10) trong những năm vừa qua cũng đã có những cập nhật khuyến cáo riêng, phù hợp với thực
tiễn y tế và đặc thù khu vực. Mặc dù có một số điểm khác biệt giữa các khuyến cáo nhưng tất cả đều có
tính nhất quán trong mục tiêu chung là nhằm cải thiện tỷ lệ kiểm soát THA, giảm thiểu nguy cơ liên quan
bệnh suất và tử suất do THA và nâng cao chất lượng cuộc sống của người bệnh, đồng thời ngày càng
đồng điệu và hội tụ gần nhau hơn về quan điểm và chiến lược thực hành lâm sàng điều trị và dự phòng.
Tại Việt Nam theo báo cáo của Tổ chức Y Tế Thế Giới (WHO) 2023, tỷ lệ THA tuổi từ 30-79 là 30%, trong
đó 47% được điều trị, nhưng chỉ có 13% được kiểm soát, tương ứng 14,3 triệu người THA (2). Năm 2019
có 287.000 người chết do bệnh tim mạch trong đó 60% có liên quan THA. Nếu chúng ta cố gắng cải thiện
lên 50% kiểm soát THA <140/90mmHg thì phải cần thêm 5,4 triệu người THA điều trị kiểm soát và sẽ cứu
sống 671.000 người vào năm 2040 (1). Đây là một thách thức vô cùng lớn lao, Phân Hội Tăng Huyết Áp
Việt Nam (VSH), thuộc Hội Tim Mạch Học Việt Nam (VNHA) nhận thấy sự cần thiết về đồng thuận một
chiến lược thực hành lâm sàng trong quản lý THA, cập nhật mới ngắn gọn nhằm tối ưu hóa việc kiểm soát
HA đạt nhiều hơn và hòa nhịp với những tiến bộ y học và các khuyến cáo quốc tế và khu vực thể hiện qua
nguyên tắc cơ bản lấy bệnh nhân làm trung tâm và triển khai “Lộ trình chiến lược” - 5Đ trong thực hành
lâm sàng với 5 bước cơ bản lấy bệnh nhân làm trung tâm để đi đến thành công kiểm soát THA có hiệu quả.
(Hình 2)",,
2,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,Phần I: ĐIỀU CHỈNH KHUYẾN CÁO 2022 CỦA VSH/VNHA,1/ Điều chỉnh phân loại huyết áp và tăng huyết áp,"a) Thống nhất thuật ngữ ""huyết áp không tăng” (bình thường).",,"- Huyết áp là thang đo liên tục của nguy cơ: Nguy cơ bệnh tim mạch không chỉ bắt đầu từ ngưỡng ""tăng
huyết áp"", tức huyết áp phòng khám đạt ≥130/80mmHg hoặc ≥140/90mmHg, tùy hiệp hội khuyến cáo và
tài liệu đánh giá (3, 11, 12), mà có thể tăng dần với bất kỳ mức huyết áp nào cao hơn huyết áp lý tưởng.
- Giảm bớt sự hiểu nhầm: Thuật ngữ ""huyết áp bình thường"" có thể khiến một số người lầm tưởng rằng
chỉ cần huyết áp dưới ngưỡng ""tăng huyết áp"" thì không có nguy cơ. Trong thực tế, nguy cơ tăng dần và
không chỉ bắt đầu ở mức cao.(10)
- Những chứng cứ từ 2002 đến nay: Levingston ghi nhận tuổi trên 40 có HA bình thường vẫn có mối liên
quan mạnh và trực tiếp với tỷ lệ tử vong do mạch máu (và tử vong chung), mà không có bằng chứng nào
về một ngưỡng cố định, ít nhất là đến mức HA 115/75 mmHg (13). Năm 2020, Whelton qua nghiên cứu
MESA theo dõi 14,3 năm ở 1.457 người không có YTNC kinh điển, có HATT từ 90-130mmHg ghi nhận cứ
tăng mỗi 10mmHg thì tăng 53% nguy cơ bệnh tim mạch do xơ vữa (BTMDXV) qua canxi hóa mạch vành
(14). Trong BLTTC 2021 cho thấy giảm mỗi 5mmHg HATT và mỗi 3mmHg HATTr đều giảm 10% các biến
cố tim mạch, bất kể có tiền sử có bệnh tim mạch hay không (15) và kết quả SPRINT của Smith tháng 4
năm 2024 về HATTr cho thấy giảm HATTr<70 mmHg không phải là rào cản điều trị (16), cùng các khảo sát
của Emily Herrets khảo sát đoàn hệ trên 1 triệu dân ở Anh cho thấy ngưỡng <120/70 mmHg ít có nguy cơ
tim mạch (17). Các nghiên cứu của Noel Muller, Casey cho thấy huyết HA tăng theo tuổi khi tiếp cận với
môi trường sống hiện đại, hoặc ăn mặn (18, 19). Marios A. và cộng sự trong năm 2021 đã phân tích ngẫu
nhiên di truyền (Mendelian randomization, MR) không tìm thấy bằng chứng cho mối quan hệ dạng chữ J;
thay vào đó, đã xác nhận rằng nguy cơ nhồi máu cơ tim giảm đều đặn khi HATTr giảm, ngay cả ở những
người có HATTr cơ bản thấp, đã ủng hộ mạnh mẽ cho mức HA dưới 120/70mmHg là mức HA không tăng
(20).
- Khuyến khích quản lý HA tích cực hơn: Việc sử dụng thuật ngữ “huyết áp không tăng"" giúp nhấn mạnh
rằng mức HA càng thấp trong phạm vi hợp lý thì càng có lợi, thay vì chỉ duy trì dưới ngưỡng ""bình thường"".
Tuy nhiên để phù hợp theo thuật ngữ lâu nay chúng ta đã quen dùng nên thống nhất thuật ngữ “huyết áp
không tăng (bình thường)”.",,
3,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,Phần I: ĐIỀU CHỈNH KHUYẾN CÁO 2022 CỦA VSH/VNHA,1/ Điều chỉnh phân loại huyết áp và tăng huyết áp,b) Về mức HA tăng (elevated blood pressuret): Tiền tăng huyết áp,,"Theo AHA/ACC 2017 (11), Nhật Bản (8) và Hàn Quốc (5) cũng đã áp dụng, nay với những chứng cứ từ
nghiên cứu của Forouzanfar năm 2017 (21), thử nghiệm ACCORD 2010 (22), SPRINT 2014 và 2021 (23,
24), thử nghiệm RESPECT năm 2019 (25), thử nghiệm ESPRIT năm 2024 (26) đã cho thấy HATT 120-139
mmHg và/hoặc HATTr 70-89mmHg là ở mức nguy cơ gia tăng bệnh tim mạch và VSH/VNHA thống nhất
dùng từ “tiền tăng huyết áp” như JNC VII đã dùng trước đây (27).",,
3,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,Phần I: ĐIỀU CHỈNH KHUYẾN CÁO 2022 CỦA VSH/VNHA,1/ Điều chỉnh phân loại huyết áp và tăng huyết áp,c) Tăng Huyết áp:,,"Mặc dù hiện có nhiều nghiên cứu như SPRINT, ESPRIT, CRHCP đã cho thấy HA từ mức >130-180 mmHg
gia tăng nguy cơ bệnh tim mạch nhưng những phân tích tổng hợp các thử nghiệm lâm sàng ngẫu nhiên
(RCT) đã chứng minh lợi ích của liệu pháp hạ huyết áp đối với bệnh nhân có huyết áp ≥140/90 mmHg ,
đặc biệt ở nhóm có nguy cơ mắc bệnh tim mạch (CVD) ≥10% trong vòng 10 năm. Nên thống nhất ngưỡng
chẩn đoán tăng huyết áp:
• Ngưỡng truyền thống: ≥140/90 mmHg.
• Ngưỡng này giữ tính nhất quán với các định nghĩa chính sách hiện hành, đồng thời tránh việc gán nhãn
“mắc bệnh” không cần thiết.(4)",table1,vnha_2024_plha_p3.json
4,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,Phần I: ĐIỀU CHỈNH KHUYẾN CÁO 2022 CỦA VSH/VNHA,2/ Phân tầng nguy cơ ở bệnh nhân THA,,,"Bệnh nhân THA cần được phân tầng nguy cơ để xác định ngưỡng ban đầu cần điều trị và mục tiêu điều trị .
Các yếu tố nguy cơ nên được sàng lọc và đánh giá thường xuyên ở những bệnh nhân THA ngay từ khi chẩn
đoán ban đầu và trong quá trình theo dõi điều trị (2, 34, 62). Tiên lượng và các lựa chọn y tế cho tình trạng
huyết áp cao và các yếu tố nguy cơ có thể thay đổi, nên cần được thảo luận với bệnh nhân THA (33, 47).
Những thay đổi về cấu trúc hoặc chức năng do THA gây ra ở mạch máu động mạch và/hoặc các cơ quan mà
nó cung cấp được gọi là tổn thương cơ quan đích hay trung gian do THA (HMOD) (4, 6). Việc phát hiện tổn
HMOD không triệu chứng ở những bệnh nhân THA là một phần quan trọng của chẩn đoán và đánh giá tiên
lượng để có hướng điều trị thỏa đáng.
Theo VSH/VNHA 2022 (9), do Việt Nam chưa có dữ liệu đầy đủ để xác định chính xác nguy cơ tim mạch ở
bệnh nhân THA, nên sử dụng thang điểm nguy cơ tim mạch tương đối của ISH 2020 theo các YTNC (28),
tổn thương HMOD và bệnh đồng mắc nhưng qua những tiến bộ gần đây ESH 2023 (3) và ESC 2024 (4) đã
bổ sung nhiều YTNC, HMOD. Tuy nhiên, theo ESH phân tầng quá nhiều bậc mặc dù phản ảnh các biến thể
sinh học của THA nhưng qúa phức tạp trong thực hành, còn ESC chú ý tập trung vào nhóm huyết áp tăng
nguy cơ cao 130-139mmHg nhưng qua 4 bước chi tiết và tốn kém, nên chúng tôi phân tầng dựa vào ISH
2020 và bổ sung các YTNC mới như khuyến cáo của Trung Quốc (7), Hàn Quốc, Nhật Bản (8) cùng ESH (3)
và ESC 2024 (4). Về tính thang điểm nguy cơ tuyệt đối vẫn theo quan điểm khuyến cáo Theo WHO 2021
hầu hết bệnh nhân có HATT >= 140 mmg hoặc HATTr =< 90 mmHg đều có nguy cơ cao và được chỉ định
điều trị bằng thuốc, họ không cần đánh giá NCTM trước khi bắt đầu điều trị. Đánh giá NCTM là quan trọng
nhất trong việc hướng dẫn việc quyết định điều trọ bằng thuốc ở những bệnh nhân THA có HATT < 130 – 139
mmHg.(29) hoặc thang điểm SCORE2 (30) và SCORE2 – OP (31) của ESC , hoặc thang điểm nguy cơ PCE
của ACC/AHA tính nguy cơ ASCVD và hiện tại khuyến khích dùng PREVENT của AHA Hoa kỳ cho tuổi từ 30
trở lên (34, 35).",table2,vnha_2024_phantangnguyco_p4.json
5,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,Phần I: ĐIỀU CHỈNH KHUYẾN CÁO 2022 CỦA VSH/VNHA,3/. Mục đích điều trị THA.,A. Ngưỡng HA ban đầu cần điều trị.,,"Mục đích chính của điều trị THA là theo cá thể hóa ngăn ngừa các bệnh tim mạch thận do tăng HA và giảm
tỷ lệ tử vong bằng cách kiểm soát HA đạt mục tiêu (39, 61). Ở những bệnh nhân đã có bệnh tim mạch, điều
trị nhằm mục đích kiểm soát HA để ngăn ngừa sự tiến triển hoặc tái phát của bệnh nhằm giảm tỷ lệ tử vong
và cải thiện chất lượng cuộc sống theo bảng mục tiêu khuyến cáo năm 2022 (9).
Ngưỡng điều trị THA như VSH/VNHA 2022 (9), theo quan điểm WHO
2021 ở bệnh nhân THA≥ 140 /90 mmHg hoặc HATT: 130-139mmHg đã có bệnh tim mạch não, suy tim, ĐTĐ,
CKD IV,V cần điều trị thay đổi lối sống và thuốc phối hợp đôi liều thấp sớm (36), theo bảng 3.",,
5,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,Phần I: ĐIỀU CHỈNH KHUYẾN CÁO 2022 CỦA VSH/VNHA,3/. Mục đích điều trị THA.,B. Thiết lập các mục tiêu điều trị cụ thể,,"Mục đích chính của điều trị THA là theo cá thể hóa ngăn ngừa các bệnh tim mạch thận do tăng HA và giảm
tỷ lệ tử vong bằng cách kiểm soát HA đạt mục tiêu (39, 61). Ở những bệnh nhân đã có bệnh tim mạch, điều
trị nhằm mục đích kiểm soát HA để ngăn ngừa sự tiến triển hoặc tái phát của bệnh nhằm giảm tỷ lệ tử vong
và cải thiện chất lượng cuộc sống theo bảng mục tiêu khuyến cáo năm 2022 (9)
B. Thiết lập các mục tiêu điều trị cụ thể: Đặt mục tiêu huyết áp phù hợp với từng bệnh nhân dựa trên các yếu tố nguy cơ cá nhân, bao gồm mức
độ suy yếu, lão hóa, tình trạng sức khỏe, các bệnh đồng mắc và bệnh kèm theo (4, 9, 39, 40, 47). Mục tiêu
này giúp định hướng cho các biện pháp điều trị và giúp bệnh nhân có cái nhìn rõ ràng về quá trình điều trị.
Hiện nay, các thử nghiệm lớn ngẫu nhiên đối chứng (CRT), đang được thực hiện ở người trưởng thành
Brazil bị tăng huyết áp kèm theo đái tháo đường hoặc tăng huyết áp kèm tiền sử đột quỵ, so sánh giữa việc
đưa huyết áp tâm thu (SBP) xuống <120 mmHg so với <140 mmHg. Kết quả từ hai thử nghiệm này đang
được chờ đợi có đồng nhất với số chứng cứ đang có? Cho đến hiện tại, đã có nhiều chứng cứ từ SPRINT
(16, 23, 24) STEP (37), ESPRIT (26), CRHCP (38), phân tích gộp của Wheltol (39) và mới nhất BPROAD
ở bệnh nhân ĐTĐ týp 2 hạ HATT <120mmHg vs < 140mmHg giảm các biến cố tim mạch 1,65% so với
2,09% mỗi năm [HR] 0,79, khoảng tin cậy 95% [CI] 0,69-0,90), p < 0,001 (40), từ các thử nghiệm lâm sàng
và phân tích gộp (meta-analysis) này đã cung cấp sự ủng hộ mạnh mẽ cho quan điểm “hạ huyết áp càng
thấp càng tốt”. Trên cơ sở mục tiêu khuyến cáo của VSH/VNHA năm 2022 (9), nay khuyến cáo cụ thể rõ
ràng hơn như sau:",table4,vnha_2024_muctieudieutri_p6.json
8,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",Các rào cản,,,"Tại Việt Nam, theo báo cáo của WHO 2023, tỷ lệ kiểm soát THA còn rất thấp, chỉ đạt 11% ở nam giới và
15% ở nữ giới (39). Trong thực tế, cả đội ngũ y tế lẫn bệnh nhân đều phải đối mặt với nhiều rào cản, góp
phần làm giảm tỷ lệ kiểm soát huyết áp. Các rào cản bao gồm:
CÁC RÀO CẢN THẦY THUỐC THƯỜNG GẬP:
1. Sự trì trệ trong điều trị (Treatment inertia):
Không thay đổi hoặc điều chỉnh phương pháp điều
trị khi cần thiết.
2. Thiếu tin tưởng vào kết quả đo huyết áp:
Sự thiếu tự tin vào độ chính xác của các chỉ số
huyết áp đã đo.
3. Thiếu kiến thức về tăng huyết áp và cách kiểm
soát huyết áp
Nhà cung cấp dịch vụ y tế không nắm rõ các kiến
thức cơ bản về bệnh và các phương pháp kiểm
soát huyết áp.
4. Sự không chắc chắn về mục tiêu điều trị và các
hướng dẫn lâm sàng.
5. Thiếu kiến thức về cách đo huyết áp trong phòng
khám và ngoài phòng khám. Không có hiểu biết đầy đủ về kỹ thuật và tầm quan
trọng của việc đo huyết áp ở các môi trường khác
nhau.
6. Thiếu phản hồi và cải thiện chất lượng dịc vụ dựa
trên kết quả điều trị.
7. Thời gian không đủ:
Thiếu thời gian để cung cấp dịch vụ chăm sóc chất
lượng hoặc tư vấn kỹ lưỡng cho bệnh nhân.
8. Kỹ năng giao tiếp và xây dựng lòng tin hạn chế
Kỹ năng giao tiếp yếu và thiếu khả năng xây dựng
lòng tin với bệnh nhân.
9. Phân biện chủng tộc/ cá nhân
Sự phân biệt đối xử hoặc định kiến cá nhân có thể
ảnh hưởng đến chất lượng chăm sóc y tế.
10. Thiếu thuốc không ổn định
Thuốc men tùy tiện không bảo đảm đầy đủ",,
9,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",Các rào cản,,,"Đối với bệnh nhân cũng gặp rất nhiều rào cản được chia thành ba nhóm chính:
1. Rào cản về hành vi
- Khó khăn trong việc thay đổi thói quen sinh hoạt
theo khuyến nghị.
- Không tuân thủ đúng theo đơn thuốc được kê để
điều trị tăng huyết áp.
2. Rào cản về Nhận thức/ Cảm xúc
- Thiếu kiến thức về tăng huyết áp và cách kiểm
soát huyết áp.
- Thiếu hiểu biết về việc tự đo huyết áp.
- Các rối loạn thần kinh tâm lý ảnh hưởng đến nhận
thức và khả năng đưa ra quyết định.
- Lạm dụng chất kích thích.
- Trình độ hiểu biết về y tế thấp.
- Hạn chế về khả năng sử dụng công nghệ kỹ thuật
số, ảnh hưởng đến việc áp dụng công nghệ trong
quản lý sức khỏe.
3. Rào cản về Xã hội - Dân số học
- Tình trạng kinh tế - xã hội thấp, thường do thiếu
tiếp cận giáo dục, mức độ nghèo đói cao, hoặc
thiếu cơ hội việc làm.
- Thiếu phương tiện di chuyển hoặc không có khả
năng nghỉ làm để đi khám do các trách nhiệm như
chăm sóc trẻ nhỏ, người già, hoặc không được nghỉ
làm.
- Hạn chế truy cập internet tốc độ cao, ảnh hưởng
đến khả năng sử dụng thiết bị tự đo huyết áp và
dịch vụ theo dõi từ xa.
- Khả năng ngôn ngữ thấp, khiến bệnh nhân gặp
khó khăn trong việc hiểu thông tin y tế hoặc tuân
theo hướng dẫn điều trị.
",,
9,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",Các rào cản,,,"Các rào cản này cho thấy những thách thức mà thầy thuốc và bệnh nhân phải đối mặt khi tuân thủ kế hoạch
quản lý THA, cho nên cần nhấn mạnh sự cần thiết của cách tiếp cận cá thể hóa và hỗ trợ để giải quyết các
rào cản này.
Chính vì vậy VSH/VNHA đưa ra chiến lược thực hành lâm sàng quản lý THA, là lộ trình 5Đ thực hành lâm
sàng đặt BỆNH NHÂN LÀM TRUNG TÂM trong việc quản lý tăng huyết áp, đặt trọng tâm giải tỏa các rào
cản cả đội ngũ thầy thuốc cùng bệnh nhân thực hành tham gia đạt mục tiêu điều trị theo 5 bước chính của
chữ:(lộ trình, đường đua, theo dõi... ): Mỗi chữ cái đại diện cho một bước quan trọng trong quy trình và
phiên ra Việt ngữ thành 5Đ như hình 2.",,
9,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),Đ1.1. Đo huyết áp và xác định các phân loại THA:,,"Để có một chẩn đoán THA chính xác, việc đo huyết áp cần được thực hiện đúng quy trình gồm ở cả môi
trường lâm sàng (phòng khám) (HAPK), huyết áp có thể được đo bằng thiết bị cơ bóp tay hoặc thiết bị tự
động, có thể có hoặc không có sự hiện diện của nhân viên y tế (TĐHAPK) và huyết áp ngoài phòng khám
(HANPK) gồm: Đo huyết áp tại nhà (HATN): Là HA do bệnh nhân tự thực hiện tại nhà bằng thiết bị được
chứng nhận. Đo huyết áp lưu động (HALĐ): Đo huyết áp ngoài phòng khám bằng thiết bị tự động trong thời
gian dài, thường là 24 giờ, đo tại các khoảng thời gian cố định giúp cung cấp thông tin đầy đủ hơn về các
chẩn đoán và phân loại THA sau (hình 3):
1. Tăng huyết áp bền vững (Sustained Hypertension):
• Huyết áp đo tại phòng khám (OBPM) ≥140/90 mmHg, hoặc
• HBPM ≥135/85 mmHg, hoặc
• ABPM (trung bình 24 giờ) ≥130/80 mmHg.
2. Tăng huyết áp áo choàng trắng (White-Coat Hypertension):
• OBPM ≥140/90 mmHg, nhưng HBPM <135/85 mmHg hoặc ABPM <130/80 mmHg (bình thường ngoài
phòng khám).
3. Tăng huyết áp ẩn giấu (Masked Hypertension):
• OBPM <140/90 mmHg (bình thường tại phòng khám) nhưng HBPM ≥135/85 mmHg hoặc ABPM ≥130/80
mmHg (tăng khi đo ngoài phòng khám).
4. Huyết áp không tăng (Not Elevated BP):
• Huyết áp trong giới hạn bình thường cả ở phòng khám và ngoài phòng khám. HATT/HATTr <120/70
mmHg",figure7,vnha_2024_tieuchuanchuandoantha_p10.json
