page,title,header1,header2,header3,header4,content,ref,file
20,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam","III.Đ3. ĐIỀU TRỊ CÁ THỂ HÓA- ĐIỀU TRỊ BAN ĐẦU (ASSIGN INDIVIDUALIZED THERAPY
– INITIAL MANAGEMENT OF HTN)","Đ3.7. Điều trị không dùng thuốc: Can thiệp thay đổi lối sống (6, 61, 63, 64)",,"- Kế hoạch điều trị luôn bắt đầu nền tảng thay đổi lối sống đã được chứng minh hạ áp hình
- Chế độ ăn uống: Khuyến cáo bệnh nhân ăn giảm muối, tiêu thụ ít thực phẩm chế biến sẵn và ăn nhiều
rau quả, các loại hạt, thực phẩm giàu kali và chất xơ chế độ DASH.
- Giảm tiêu thụ đường tự do có trong các loại đồ uống có đường, chẳng hạn như nước ngọt và nước ép
trái cây có thêm đường., tối đa không quá 10% tổng năng lượng và nên giảm tiêu thụ ngay từ lúc trẻ (65, 66)
- Giảm lượng muối tiêu thụ (67)
- Natri chủ yếu được tiêu thụ dưới dạng muối từ thực phẩm chế biến sẵn hoặc thêm vào khi nấu ăn
- Hạn chế muối < 5 g (khoảng 2 g natri) hoặc 1 muỗng cà phê mỗi ngày
- Tăng cường lượng kali tiêu thụ:
- Tăng tiêu thụ kali, tốt nhất là qua chế độ ăn, ngoại trừ bệnh nhân THA có bệnh thận mạn tiến triển. Thực
phẩm giàu kali bao gồm đậu trắng, bơ và chuối - Sử dụng các chất thay thế gồm muối NaCl 75% và 25%
KCL cho những người tiêu thụ chế độ ăn nhiều muối (67-69).
- Tập cường tập thể dục: Tập thể dục aerobic cường độ vừa /thấp: chẳng hạn như đi bộ, đạp xe, hoặc
bơi lội vừa phải ít nhất 150 phút mỗi tuần (ít nhất 30 phút, 5–7 ngày/tuần) hoặc thay thế bằng 75 phút tập
thể dục aerobic cường độ mạnh mỗi tuần, chia ra 3 ngày, được khuyến nghị, hoạt động này nên được kết
hợp với các bài tập kháng lực động hoặc tĩnh cường độ thấp hoặc vừa (2–3 lần/tuần) để giúp giảm huyết
áp và nguy cơ mắc bệnh tim mạch nhưng phải bảo đảm an toàn. Cách tính tần số nhịp tim luyện tập hiệu
qủa theo cường độ và giới hạn an toàn (10, 33).
- Kiểm soát cân nặng: Giảm cân đối với bệnh nhân thừa cân giúp giảm huyết áp BMI 20-25, vòng eo ở
nam <94cm và nữ <80cm (59, 70).
- Giảm stress và tránh lối sống tĩnh tại: Khuyến khích các hoạt động thư giãn như thiền, yoga hoặc các
bài tập thở để giảm căng thẳng (6).
- Hạn chế rượu và tránh thuốc lá: Khuyến khích bệnh nhân hạn chế uống rượu <200g/ tuần đến 0.
Bỏ thuốc lá vì chúng đều có thể làm tăng huyết áp (1, 29, 35).
- Sống trong môi trường tốt không ô nhiễm không khí, tiếng ồn.",,
22,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam","III.Đ3. ĐIỀU TRỊ CÁ THỂ HÓA- ĐIỀU TRỊ BAN ĐẦU (ASSIGN INDIVIDUALIZED THERAPY
– INITIAL MANAGEMENT OF HTN)",,,"Tóm lược: 3Đ: Điều trị toàn diện cho bệnh nhân tăng huyết áp không chỉ tập trung theo phác đồ cá thể hóa
trong thực hành lâm sàng tăng huyết áp. Quan trọng là trao đổi với bệnh nhân để họ nhận thức mối nguy
hại nếu không điều trị đúng cách và lợi ích của việc kiểm soát huyết áp. Việc tạo niềm tin và trao quyền cho
bệnh nhân tham gia vào quá trình điều trị giúp họ cảm thấy có trách nhiệm và chủ động hơn trong việc quản
lý sức khỏe của mình. Qua đó, bác sĩ và bệnh nhân cùng cam kết thực hiện các chỉ định, tuân thủ điều trị
để kiểm soát huyết áp hiệu quả, giảm thiểu nguy cơ biến chứng và nâng cao chất lượng cuộc sống",,
23,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",IV. Đ4. ĐÁP ỨNG ĐIỀU TRỊ - (CHECK RESPONSE):,Đ4.1. Theo dõi các chỉ số huyết áp định kỳ:,,"Thời gian ban đầu, ngắn hạn và dài hạn
Sau khi bắt đầu điều trị bằng TĐLS và thuốc hạ áp tại tuyến cơ sở / phòng khám có bảo hiểm y tế hoặc
phòng khám gia đình, tư nhân, điều trị và tái khám định kỳ mỗi 2-4 tuần/lần trong 2-3 tháng đầu để đánh
giá tác dụng trên HA và đánh giá các tác dụng phụ có thể xảy ra cho đến khi đạt được mục tiêu HA.
- Thời gian điều trị đạt đích giữa các bước từ 1-3 tháng, tối ưu 1 tháng, sau khi đạt đích tái khám theo lịch
hẹn và khi có bất thường
- Bệnh nhân được khuyến khích đo huyết áp thường xuyên tại nhà và ghi chép lại các kết quả để so sánh
với mục tiêu điều trị, trước khi tái khám. Việc theo dõi liên tục giúp phát hiện sớm những biến động bất
thường và giúp bác sĩ điều chỉnh phương pháp điều trị khi cần thiết.
- Tại các buổi tái khám, bác sĩ sẽ kiểm tra các chỉ số huyết áp do bệnh nhân ghi lại để đánh giá xem huyết
áp có đang được kiểm soát ổn định không. Nếu huyết áp không đạt mục tiêu, xem xét các yếu tố ảnh
hưởng và đưa ra điều chỉnh phù hợp và chuẩn liều..",,
23,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",IV. Đ4. ĐÁP ỨNG ĐIỀU TRỊ - (CHECK RESPONSE):,Đ4.2. Đánh giá hiệu quả điều trị/ tác dụng phụ của thuốc:,,"- Bác sĩ sẽ hỏi bệnh nhân về các tác dụng phụ mà họ có thể gặp phải khi sử dụng thuốc điều trị tăng huyết
áp, chẳng hạn như ho khan, chóng mặt, mệt mỏi, buồn nôn, hoặc phù chân. Phản ứng của cơ thể với thuốc
là rất quan trọng để bác sĩ có thể xác định xem có cần thay đổi loại thuốc hoặc liều lượng không.
- Khi phát hiện tác dụng phụ không dung nạp, bác sĩ có thể thay đổi huốc hoặc đưa ra các biện pháp hỗ
trợ giúp bệnh nhân giảm bớt các triệu chứng không mong muốn.",,
23,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",IV. Đ4. ĐÁP ỨNG ĐIỀU TRỊ - (CHECK RESPONSE):,Đ4.3. Đánh giá sự thay đổi trong lối sống:,,"- Việc thay đổi lối sống đóng vai trò quan trọng trong dự phòng và kiểm soát huyết áp, nên bác sĩ cũng sẽ
hỏi bệnh nhân về các biện pháp cải thiện lối sống đã thực hiện (chế độ ăn, tập thể dục, bỏ thuốc lá, hạn
chế rượu bia). Theo dõi quá trình này giúp đánh giá mức độ tuân thủ và hiệu quả của các biện pháp không
dùng thuốc. Đặc biệt trong luyện tập gắng sức cường độ cao (bảng )
- Nếu bệnh nhân gặp khó khăn trong việc duy trì những thay đổi này, bác sĩ có thể cung cấp thêm các hỗ
trợ hoặc gợi ý các phương pháp dễ thực hiện hơn",,
23,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",IV. Đ4. ĐÁP ỨNG ĐIỀU TRỊ - (CHECK RESPONSE):,Đ4.4. Kiểm tra tiến trình đáp ứng và động viên,,"- Các buổi tái khám định kỳ cũng là cơ hội để đánh giá lại về sự đáp ứng cải thiện mức độ THA, HMOD,
bệnh đồng mắc, động viên bệnh nhân, giúp họ duy trì động lực trong việc tuân thủ kế hoạch điều trị.
Bác sĩ có thể ghi nhận những cải thiện trong chỉ số huyết áp và sức khỏe tổng thể để bệnh nhân thấy được
kết quả tích cực từ nỗ lực của họ.
- Khi bệnh nhân đạt được các mục tiêu ngắn hạn, bác sĩ có thể thiết lập thêm những mục tiêu mới để duy
trì tiến độ cải thiện sức khỏe.",,
23,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",IV. Đ4. ĐÁP ỨNG ĐIỀU TRỊ - (CHECK RESPONSE):,Đ4.5. Điều chỉnh và tối ưu hóa phác đồ điều trị khi cần thiết,,"- Dựa trên các dữ liệu thu thập từ việc theo dõi huyết áp, các triệu chứng của bệnh nhân, và sự thay đổi
trong lối sống, bác sĩ sẽ điều chỉnh phương pháp điều trị để phù hợp hơn với tình trạng hiện tại.
- Việc điều chỉnh phác đồ giúp đảm bảo rằng kế hoạch điều trị luôn đáp ứng nhu cầu của bệnh nhân, giúp
kiểm soát huyết áp hiệu quả và cải thiện chất lượng cuộc sống.",,
23,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",IV. Đ4. ĐÁP ỨNG ĐIỀU TRỊ - (CHECK RESPONSE):,Đ4.6. Theo dõi từ xa,,"Với tự đo HATN bằng các loại máy mới có thể cung cấp các thông số cần thiết từ xa để quản lý tốt HA,
được xem là phương pháp theo dõi trung tâm cá nhân hóa (56-58, 71)",,
24,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",IV. Đ4. ĐÁP ỨNG ĐIỀU TRỊ - (CHECK RESPONSE):,,,"Tóm lược Đ4: Đáp ứng với điều trị: Kiểm tra theo dõi - (Check respone) trong chiến lược thực hành lâm
sàng giúp duy trì kiểm soát tốt huyết áp của bệnh nhân thông qua việc đánh giá liên tục và điều chỉnh phác
đồ điều trị. Theo dõi phản ứng của bệnh nhân không chỉ hỗ trợ quá trình điều trị mà còn tăng cường sự
hợp tác giữa bác sĩ và bệnh nhân, góp phần đạt được các mục tiêu điều trị và giảm nguy cơ biến chứng.",figure16,vnha_2024_kiemtra_dapung_dieutri_p24.json
24,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",V.Đ5. Đầy đủ tuân thủ: (Keep Adherence),,,"Duy trì và Hỗ trợ Tuân thủ Điều trị. Tuân thủ (adherence) là mức độ và hành vi của bệnh nhân, ví dụ như
việc dùng thuốc, phù hợp với các khuyến cáo đã được thống nhất từ nhà cung cấp dịch vụ y tế. Duy trì
(persistence) đề cập đến khoảng thời gian từ khi bắt đầu đến khi ngừng liệu pháp điều trị. Hiện nay tỷ lệ
không tuân thủ còn rất cao, đặt biệt THA ở người trẻ tuổi. Việc không tuân thủ liệu pháp hạ huyết áp có liên
quan đến nguy cơ mắc các biến cố tim mạch cao hơn. Các phương pháp khách quan để đánh giá mức độ
tuân thủ, như phát hiện thuốc kê đơn trong mẫu máu hoặc nước tiểu, hoặc quan sát trực tiếp việc uống
thuốc (như trong theo dõi HA 24 giờ), đã chứng minh tính hữu ích, đặc biệt trong trường hợp tăng huyết
áp kháng trị. Tuy nhiên, tất cả các phương pháp kiểm tra việc tuân thủ đều có những hạn chế. Việc không
tuân thủ liệu pháp hạ huyết áp phụ thuộc vào nhiều yếu tố khác nhau.",,
24,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",V.Đ5. Đầy đủ tuân thủ: (Keep Adherence),Đ5.1. Giáo dục và nâng cao nhận thức của bệnh nhân:,,"- Bệnh nhân phải hiểu rõ về tầm quan trọng của việc tuân thủ phác đồ điều trị, giúp họ hiểu tại sao việc
dùng thuốc đều đặn và thay đổi lối sống là cần thiết để kiểm soát huyết áp. Khi bệnh nhân nhận thức được
tác động tích cực của việc tuân thủ điều trị, họ sẽ có động lực duy trì.
- Cung cấp tài liệu giáo dục, video, hoặc hướng dẫn để giúp bệnh nhân hiểu về các biến chứng có thể xảy
ra nếu họ không tuân thủ điều trị, như đột quỵ, suy tim và bệnh thận.",,
24,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",V.Đ5. Đầy đủ tuân thủ: (Keep Adherence),Đ5.2. Đơn giản hóa phác đồ điều trị:,,"Bác sĩ sẽ cố gắng đơn giản hóa phác đồ điều trị để bệnh nhân dễ
dàng thực hiện hơn, chẳng hạn như giảm số lượng liều thuốc phải uống mỗi ngày bằng cách sử dụng
thuốc phối hợp liều cố định. Các biện pháp này giúp bệnh nhân không bị nhầm lẫn hoặc quên uống thuốc.",,
24,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",V.Đ5. Đầy đủ tuân thủ: (Keep Adherence),Đ5.3. Hỗ trợ sử dụng công nghệ để nhắc nhở,,"- Khuyến khích bệnh nhân sử dụng ứng dụng nhắc nhở trên điện thoại hoặc các thiết bị đeo tay để nhắc
nhở về thời gian uống thuốc, đo huyết áp và ghi lại các chỉ số liên quan. Công nghệ giúp bệnh nhân kiểm
soát lịch trình điều trị dễ dàng và có tính tự giác hơn.
- Một số ứng dụng sức khỏe còn có tính năng theo dõi tiến trình, cung cấp báo cáo về huyết áp và tình trạng
sức khỏe của bệnh nhân để họ có thể nhìn thấy những cải thiện và thành quả trong quá trình điều trị.",,
25,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",V.Đ5. Đầy đủ tuân thủ: (Keep Adherence),Đ5.4. Thiết lập và duy trì mối quan hệ hỗ trợ,,"- Bác sĩ và đội ngũ y tế nên xây dựng một mối quan hệ hỗ trợ với bệnh nhân, giúp bệnh nhân cảm thấy
được quan tâm và khuyến khích. Việc này có thể bao gồm các buổi tái khám định kỳ hoặc giao tiếp qua
điện thoại/email để kiểm tra tình trạng và nhắc nhở bệnh nhân về tầm quan trọng của việc tuân thủ điều trị.
- Đồng thời, gia đình cũng có thể đóng vai trò hỗ trợ trong việc nhắc nhở bệnh nhân về lịch trình uống thuốc
và khuyến khích họ duy trì lối sống lành mạnh.",,
25,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",V.Đ5. Đầy đủ tuân thủ: (Keep Adherence),Đ5.5. Tạo động lực và khuyến khích bệnh nhân,,"- Ghi nhận những cải thiện mà bệnh nhân đã đạt được và động viên họ tiếp tục tuân thủ điều trị. Những
tiến bộ dù nhỏ cũng là động lực giúp bệnh nhân cảm thấy hài lòng và kiên trì trong việc điều trị.
- Đặt ra các mục tiêu ngắn hạn và dài hạn cho bệnh nhân, giúp họ thấy rõ những lợi ích tích cực từ việc
tuân thủ phác đồ điều trị. Mỗi lần đạt được một mục tiêu, bệnh nhân sẽ có thêm động lực để tiếp tục tiến
trình.
Theo Tổ chức Y tế Thế giới, có năm khía cạnh khác nhau ảnh hưởng đến việc tuân thủ thuốc, bao gồm các
yếu tố xã hội/kinh tế, liên quan đến liệu pháp, bệnh nhân, tình trạng bệnh, và hệ thống y tế. Do đó, lý do
không tuân thủ thuốc thường phụ thuộc vào bối cảnh và khó có thể có một phương pháp chung cho tất cả
(hình 14).
Các hệ thống y tế có thể cần suy nghĩ lại về cách hỗ trợ bệnh nhân THA. Việc tích hợp các chiến lược sức
khỏe hành vi, hệ thống hỗ trợ từ cộng đồng, và các can thiệp công nghệ như nhắc nhở hoặc thiết bị theo
dõi tuân thủ kỹ thuật số có thể cung cấp thêm công cụ giúp bệnh nhân vượt qua thách thức tuân thủ. Quan
trọng hơn, các bác sĩ có thể hưởng lợi từ việc đào tạo để hiểu rõ hơn các sắc thái của việc tuân thủ và các
yếu tố đa dạng ảnh hưởng đến nó.",,
25,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",V.Đ5. Đầy đủ tuân thủ: (Keep Adherence),,,"Tóm lược 5Đ Đầy đủ tuân thủ: Keep Adherence – Giữ Vững Duy Trì Tuân Thủ Điều Trị trong chiến lược
5Đ thực hành lâm sàng quản lý THA giúp đảm bảo bệnh nhân kiên trì tuân thủ điều trị, từ đó đạt được hiệu
quả kiểm soát huyết tốt nhất và giảm nguy cơ biến chứng. Việc hỗ trợ bệnh nhân trong suốt quá trình điều
trị, đơn giản hóa phác đồ và tạo động lực sẽ giúp họ xây dựng thói quen tích cực và ý thức về tầm quan
trọng của việc bảo vệ sức khỏe tim mạch của chính mình và gia đình xã hội.",,
26,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",VI. Bệnh nhân là trung tâm,,,"Lấy bệnh nhân làm trung tâm trong chiến lược thực hành quản lý tăng huyết áp nghĩa là tập trung vào nhu
cầu, mục tiêu và sự tham gia của bệnh nhân trong quá trình điều trị. Đây là cách tiếp cận giúp tạo điều kiện
cho bệnh nhân tham gia chủ động và hiểu rõ vai trò của họ trong việc quản lý bệnh. Bệnh nhân tự đo theo
dõi cùng đội ngũ y tế xác định và điều chỉnh mục tiêu điều trị dựa trên cá thể hóa để đạt và duy trì mục tiêu.
Họ cần đáp ứng nguồn lực với sự hổ trợ đa ngành, gia đình, xã hội, bảo hiểm y tế, lắng nghe và thấu hiểu
vượt qua các rào cản để cùng đạt đích. Đảm bảo cùng bệnh nhân xây dựng biện pháp điều trị ưu tối ưu
hiệu qủa an toàn kinh tế với nhận thức hành động tuân thủ . Liên tục theo dõi huyết áp và các yếu tố nguy
cơ khác, đồng thời điều chỉnh điều trị kịp thời dựa trên phản hồi và tình trạng sức khỏe của bệnh nhân.
Đảm bảo rằng bệnh nhân luôn được tham gia vào quyết định liên quan đến sức khỏe của họ. Thiết lập kênh
giao tiếp hai chiều với bác sĩ, cho phép bệnh nhân dễ dàng hỏi đáp, nhận lời khuyên và động viên. Sự kết
nối này, qua các phương thức như telemedicine, giúp bệnh nhân cảm thấy an tâm và duy trì động lực trong
điều trị, bệnh nhân có thể đặt câu hỏi, giải quyết thắc mắc và nhận phản hồi nhanh chóng về quá trình điều
trị của họ, từ đó xây dựng niềm tin với bác sĩ và hỗ trợ việc điều trị liên tục. Bệnh nhân cần được trang bị
kiến thức về tăng huyết áp và các biến chứng, giúp họ hiểu rõ ý nghĩa của việc Điều này không chỉ cải thiện
hiệu quả điều trị cá nhân mà còn góp phần nâng cao nhận thức cộng đồng của bệnh nhân về tăng huyết
áp và các biến chứng liên quan. Từ đó cùng tham gia cải thiện trình độ dân trí được nâng cao, thể hiện qua
vai trò đẩy mạnh phát triển kinh tế xã hội quyết định sức khỏe (SODH)
Tóm lại, lấy bệnh nhân làm trung tâm là chiến lược giúp tạo ra một môi trường chăm sóc sức khỏe tích cực,
trong đó bệnh nhân được trao quyền tự đo và theo dõi, và cam kết với mục tiêu điều trị, góp phần nâng cao
hiệu quả quản lý tăng huyết áp.",figureexc1,vnha_2024_chienluoc_dieutri_thuoc_p26.json
27,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam","THÔNG ĐIỆP CHIẾN LƯỢC: THẦY THUỐC CẦN CẬP NHẬT NHỮNG TIẾN BỘ
ĐỂ CÓ MỘT CHIẾN LƯỢC THỰC HÀNH LÂM SÀNG THA TOÀN DIỆN HIỆU QUẢ",,,"- Phân loại huyết áp gồm: huyết áp không tăng, tiền tăng huyết áp và tăng huyết áp
- Áp dụng “Lộ trình chiến lược 5Đ quản lý toàn diện THA của VSH/VNHA 2024”.
- Bệnh nhân là trung tâm, được trao quyền tự đo, theo dõi và giáo dục nhận thức hành động tuân thủ để
đạt mục tiêu điều trị
- Đo chẩn đoán chính xác THA. Đánh giá bệnh nhân toàn diện. Cá thể hóa phác đồ điều trị. Theo dõi đáp
ứng điều trị. Duy trì sự tuân thủ
- Mục tiêu theo cá thể hóa: Mục tiêu theo cá thể hóa: HATT/HATTr <130/80mmHg, có thể hạ thấp hơn nữa
đến <120/70mmHg nếu dung nạp tốt hoặc kém dung nạp theo nguyên tắc ALARA nhưng ít nhất HATT
<140mmHg, đặc biệt ở người ≥ 85 tuổi, có tình trạng suy yếu, hạ huyết áp tư thế triệu chứng, tuổi thọ hạn chế.
- Tích cực thay đổi lối sống: Hạn chế natri và tăng kali, hạn chế đồ ngọt tự do, giảm rượu bia, tiết thực
DASH, tập luyện gắng sức bổ sung với sức đề kháng trong an toàn, ngừng hút thuốc...
- Điều trị thuốc ngay cho bệnh nhân chẩn đoán THA hoặc sớm ở Tiền THA có nguy cơ cao
- Điều trị dựa trên A, C, D và spironolactone khi khó kiểm soát, sử dụng B chỉ khi có chỉ định cụ thể.
- Thêm ARNI, SGLT2i, GLP1-RA, nsMRA trong một số bệnh đồng mắc.
- Khởi trị phối hợp đôi liều thấp, nếu không đạt chuyển sang phối hợp ba liều thấp cho đa số THA
- Đánh giá chẩn đoán và điều trị đúng mức THA kháng trị cũng như THA có các bệnh đồng mắc
- Triệt đốt thần kinh thận giao cảm qua động mạch thận có thể được xem xét cho bệnh nhân THA kháng trị
hoặc không kiểm soát với đội ngũ cơ sở đã được đào tạo đầy đủ với lượng thủ thuật trung bình cao và có
sự đồng ý của bệnh nhân.",,